"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SKBIANCHE"
"LAZIO";"FROSINONE";"5";"Ordine dei giornalisti";439356;214634;"122491";"64217";"64303";34411;"17702"
"LAZIO";"FROSINONE";"7";"Ministero per le politiche agricole";439356;214634;"122413";"64176";"59830";35662;"15686"
"LAZIO";"FROSINONE";"2";"Obiezione di coscienza";439356;214634;"122776";"64370";"70761";31416;"14955"
"LIGURIA";"GENOVA";"7";"Ministero per le politiche agricole";818584;382894;"251626";"124910";"149532";74492;"18910"
"LIGURIA";"GENOVA";"6";"Incarichi extragiudiziari dei magistrati";818584;382894;"253452";"125989";"201147";29020;"15617"
"LIGURIA";"GENOVA";"5";"Ordine dei giornalisti";818584;382894;"251335";"124839";"144713";77784;"20153"
"LIGURIA";"GENOVA";"4";"Carriere dei magistrati";818584;382894;"252881";"125677";"192057";34722;"17654"
"LIGURIA";"GENOVA";"3";"Caccia";818584;382894;"253187";"125604";"191553";44506;"10762"
"LIGURIA";"GENOVA";"2";"Obiezione di coscienza";818584;382894;"254323";"126362";"168383";66312;"12886"
"LIGURIA";"GENOVA";"1";"Privatizzazione";818584;382894;"252830";"125639";"162700";64070;"17445"
"FRIULI VENEZIA G.";"GORIZIA";"5";"Ordine dei giornalisti";123601;58464;"45388";"22254";"26965";13118;"4134"
"FRIULI VENEZIA G.";"GORIZIA";"6";"Incarichi extragiudiziari dei magistrati";123601;58464;"45704";"22425";"36834";4620;"3184"
"FRIULI VENEZIA G.";"GORIZIA";"7";"Ministero per le politiche agricole";123601;58464;"45452";"22276";"29206";11393;"3744"
"FRIULI VENEZIA G.";"GORIZIA";"3";"Caccia";123601;58464;"46069";"22592";"36843";6477;"1942"
"FRIULI VENEZIA G.";"GORIZIA";"2";"Obiezione di coscienza";123601;58464;"45969";"22547";"30641";11713;"2695"
"FRIULI VENEZIA G.";"GORIZIA";"1";"Privatizzazione";123601;58464;"45600";"22372";"31341";9552;"3488"
"FRIULI VENEZIA G.";"GORIZIA";"4";"Carriere dei magistrati";123601;58464;"45643";"22398";"35857";5089;"3564"
"TOSCANA";"GROSSETO";"4";"Carriere dei magistrati";187664;89749;"46451";"23459";"35379";5518;"4011"
"TOSCANA";"GROSSETO";"5";"Ordine dei giornalisti";187664;89749;"46044";"23255";"27007";12714;"4764"
"TOSCANA";"GROSSETO";"7";"Ministero per le politiche agricole";187664;89749;"46075";"23278";"25886";14710;"4006"
"TOSCANA";"GROSSETO";"2";"Obiezione di coscienza";187664;89749;"46777";"23610";"29961";12286;"3255"
"TOSCANA";"GROSSETO";"1";"Privatizzazione";187664;89749;"46303";"23364";"29770";10619;"4365"
"TOSCANA";"GROSSETO";"6";"Incarichi extragiudiziari dei magistrati";187664;89749;"46531";"23505";"36686";4779;"3624"
"TOSCANA";"GROSSETO";"3";"Caccia";187664;89749;"45752";"23094";"31881";10121;"2569"
"LIGURIA";"IMPERIA";"7";"Ministero per le politiche agricole";191467;90576;"61387";"29837";"39303";14834;"5005"
"LIGURIA";"IMPERIA";"1";"Privatizzazione";191467;90576;"61499";"29894";"43575";10869;"4776"
"LIGURIA";"IMPERIA";"2";"Obiezione di coscienza";191467;90576;"61733";"30012";"42053";13973;"3755"
"LIGURIA";"IMPERIA";"3";"Caccia";191467;90576;"61559";"29914";"48464";8796;"2651"
"LIGURIA";"IMPERIA";"4";"Carriere dei magistrati";191467;90576;"61520";"29937";"47773";6903;"4574"
"LIGURIA";"IMPERIA";"5";"Ordine dei giornalisti";191467;90576;"61322";"29825";"37696";15923;"5358"
"LIGURIA";"IMPERIA";"6";"Incarichi extragiudiziari dei magistrati";191467;90576;"61611";"29993";"49333";6023;"4175"
"ABRUZZO";"L'AQUILA";"5";"Ordine dei giornalisti";282212;137070;"80738";"41421";"45988";22139;"9383"
"ABRUZZO";"L'AQUILA";"1";"Privatizzazione";282212;137070;"80853";"41493";"50131";18512;"8917"
"ABRUZZO";"L'AQUILA";"2";"Obiezione di coscienza";282212;137070;"81146";"41645";"50382";20710;"7199"
"ABRUZZO";"L'AQUILA";"3";"Caccia";282212;137070;"81011";"41544";"54873";12697;"5596"
"ABRUZZO";"L'AQUILA";"4";"Carriere dei magistrati";282212;137070;"81006";"41581";"57770";11528;"8535"
"ABRUZZO";"L'AQUILA";"6";"Incarichi extragiudiziari dei magistrati";282212;137070;"81110";"41634";"59636";10350;"8009"
"ABRUZZO";"L'AQUILA";"7";"Ministero per le politiche agricole";282212;137070;"80669";"41366";"43424";25733;"8343"
"LIGURIA";"LA SPEZIA";"5";"Ordine dei giornalisti";200247;94788;"58257";"29828";"34513";16663;"5136"
"LIGURIA";"LA SPEZIA";"2";"Obiezione di coscienza";200247;94788;"58877";"30145";"38420";15700;"3243"
"LIGURIA";"LA SPEZIA";"3";"Caccia";200247;94788;"58590";"29944";"45121";9539;"2542"
"LIGURIA";"LA SPEZIA";"1";"Privatizzazione";200247;94788;"58490";"29941";"37772";14248;"4552"
"LIGURIA";"LA SPEZIA";"6";"Incarichi extragiudiziari dei magistrati";200247;94788;"58655";"30063";"47111";6080;"3792"
"LIGURIA";"LA SPEZIA";"4";"Carriere dei magistrati";200247;94788;"58541";"30002";"45238";7143;"4328"
"LIGURIA";"LA SPEZIA";"7";"Ministero per le politiche agricole";200247;94788;"58233";"29797";"34162";17535;"4644"
"LAZIO";"LATINA";"4";"Carriere dei magistrati";425306;207281;"131828";"67492";"94275";20428;"11822"
"LAZIO";"LATINA";"5";"Ordine dei giornalisti";425306;207281;"131625";"67352";"74617";39119;"12514"
"LAZIO";"LATINA";"7";"Ministero per le politiche agricole";425306;207281;"131559";"67322";"72479";42275;"11545"
"LAZIO";"LATINA";"3";"Caccia";425306;207281;"132141";"67612";"98868";21738;"7351"
"LAZIO";"LATINA";"2";"Obiezione di coscienza";425306;207281;"132084";"67597";"82117";35352;"9905"
"LAZIO";"LATINA";"1";"Privatizzazione";425306;207281;"131731";"67439";"83896";30439;"11865"
"LAZIO";"LATINA";"6";"Incarichi extragiudiziari dei magistrati";425306;207281;"131982";"67574";"98031";17882;"11045"
"PUGLIA";"LECCE";"1";"Privatizzazione";694157;331465;"172953";"86885";"101700";37554;"25566"
"PUGLIA";"LECCE";"2";"Obiezione di coscienza";694157;331465;"173235";"87002";"103076";41357;"21465"
"PUGLIA";"LECCE";"3";"Caccia";694157;331465;"173338";"87101";"127342";24699;"14927"
"PUGLIA";"LECCE";"4";"Carriere dei magistrati";694157;331465;"173069";"86948";"114229";25614;"25330"
"PUGLIA";"LECCE";"5";"Ordine dei giornalisti";694157;331465;"172776";"86760";"90516";47213;"26975"
"PUGLIA";"LECCE";"6";"Incarichi extragiudiziari dei magistrati";694157;331465;"173155";"87004";"118630";22402;"24518"
"PUGLIA";"LECCE";"7";"Ministero per le politiche agricole";694157;331465;"172706";"86705";"88892";51083;"24779"
"TOSCANA";"LIVORNO";"7";"Ministero per le politiche agricole";291298;138728;"75404";"38385";"41995";24715;"6621"
"TOSCANA";"LIVORNO";"1";"Privatizzazione";291298;138728;"75900";"38638";"46210";21106;"6522"
"TOSCANA";"LIVORNO";"2";"Obiezione di coscienza";291298;138728;"76641";"39026";"50419";20578;"4285"
"TOSCANA";"LIVORNO";"3";"Caccia";291298;138728;"75794";"38505";"55649";15006;"3681"
"TOSCANA";"LIVORNO";"4";"Carriere dei magistrati";291298;138728;"75907";"38675";"57282";10323;"6284"
"TOSCANA";"LIVORNO";"6";"Incarichi extragiudiziari dei magistrati";291298;138728;"76079";"38761";"60436";8356;"5470"
"TOSCANA";"LIVORNO";"5";"Ordine dei giornalisti";291298;138728;"75467";"38443";"43622";22707;"7106"
"TOSCANA";"LUCCA";"1";"Privatizzazione";333726;158834;"85995";"43054";"56450";20766;"7316"
"TOSCANA";"LUCCA";"2";"Obiezione di coscienza";333726;158834;"86912";"43446";"58977";21517;"5147"
"TOSCANA";"LUCCA";"3";"Caccia";333726;158834;"85913";"42834";"63701";17302;"4362"
"TOSCANA";"LUCCA";"4";"Carriere dei magistrati";333726;158834;"86136";"43081";"65495";12093;"7093"
"TOSCANA";"LUCCA";"5";"Ordine dei giornalisti";333726;158834;"85738";"42858";"50510";24788;"7746"
"TOSCANA";"LUCCA";"6";"Incarichi extragiudiziari dei magistrati";333726;158834;"86328";"43179";"68412";10408;"6321"
"TOSCANA";"LUCCA";"7";"Ministero per le politiche agricole";333726;158834;"85633";"42770";"50798";25868;"7502"
"MARCHE";"MACERATA";"3";"Caccia";255455;122979;"72085";"37000";"49113";14519;"5993"
"MARCHE";"MACERATA";"2";"Obiezione di coscienza";255455;122979;"72559";"37323";"43386";19698;"6815"
"MARCHE";"MACERATA";"4";"Carriere dei magistrati";255455;122979;"72307";"37195";"49726";10504;"8931"
"MARCHE";"MACERATA";"5";"Ordine dei giornalisti";255455;122979;"72104";"37076";"37125";21843;"9832"
"MARCHE";"MACERATA";"6";"Incarichi extragiudiziari dei magistrati";255455;122979;"72375";"37249";"51977";9082;"8324"
"MARCHE";"MACERATA";"7";"Ministero per le politiche agricole";255455;122979;"71970";"36992";"37244";22862;"8786"
"MARCHE";"MACERATA";"1";"Privatizzazione";255455;122979;"72218";"37147";"42843";17074;"9052"
"LOMBARDIA";"MANTOVA";"1";"Privatizzazione";316490;150230;"98524";"49567";"65472";21688;"9057"
"LOMBARDIA";"MANTOVA";"2";"Obiezione di coscienza";316490;150230;"98925";"49780";"65938";24304;"6830"
"LOMBARDIA";"MANTOVA";"3";"Caccia";316490;150230;"98664";"49585";"73177";18068;"5564"
"LOMBARDIA";"MANTOVA";"4";"Carriere dei magistrati";316490;150230;"98031";"49046";"75200";12037;"9027"
"LOMBARDIA";"MANTOVA";"5";"Ordine dei giornalisti";316490;150230;"98093";"49316";"58440";27045;"10211"
"LOMBARDIA";"MANTOVA";"7";"Ministero per le politiche agricole";316490;150230;"98207";"49386";"60753";26738;"8530"
"LOMBARDIA";"MANTOVA";"6";"Incarichi extragiudiziari dei magistrati";316490;150230;"98686";"49648";"77162";11029;"8371"
"TOSCANA";"MASSA-CARRARA";"7";"Ministero per le politiche agricole";178902;85254;"46969";"23842";"27277";13648;"4257"
"TOSCANA";"MASSA-CARRARA";"2";"Obiezione di coscienza";178902;85254;"47770";"24248";"31437";11444;"3067"
"TOSCANA";"MASSA-CARRARA";"3";"Caccia";178902;85254;"47450";"24052";"34796";8410;"1721"
"TOSCANA";"MASSA-CARRARA";"4";"Carriere dei magistrati";178902;85254;"47650";"24176";"35398";6169;"3919"
"TOSCANA";"MASSA-CARRARA";"5";"Ordine dei giornalisti";178902;85254;"47323";"24014";"27762";12927;"4511"
"TOSCANA";"MASSA-CARRARA";"6";"Incarichi extragiudiziari dei magistrati";178902;85254;"47764";"24238";"36909";5242;"3551"
"TOSCANA";"MASSA-CARRARA";"1";"Privatizzazione";178902;85254;"47515";"24132";"29968";11302;"4086"
"BASILICATA";"MATERA";"2";"Obiezione di coscienza";170617;83718;"44771";"23560";"27419";10082;"4416"
"BASILICATA";"MATERA";"7";"Ministero per le politiche agricole";170617;83718;"43250";"22746";"22640";14050;"4783"
"BASILICATA";"MATERA";"6";"Incarichi extragiudiziari dei magistrati";170617;83718;"44731";"23543";"30884";5858;"4847"
"BASILICATA";"MATERA";"5";"Ordine dei giornalisti";170617;83718;"44589";"23441";"23633";12169;"5493"
"BASILICATA";"MATERA";"3";"Caccia";170617;83718;"44873";"23647";"32746";6255;"3214"
"BASILICATA";"MATERA";"1";"Privatizzazione";170617;83718;"44685";"23496";"26009";10040;"5355"
"BASILICATA";"MATERA";"4";"Carriere dei magistrati";170617;83718;"44688";"23514";"29666";6736;"5045"
"SICILIA";"MESSINA";"5";"Ordine dei giornalisti";574183;274409;"172529";"88386";"81024";50301;"27896"
"SICILIA";"MESSINA";"1";"Privatizzazione";574183;274409;"172649";"88522";"94843";36891;"27056"
"SICILIA";"MESSINA";"7";"Ministero per le politiche agricole";574183;274409;"173101";"89091";"83298";48595;"27304"
"SICILIA";"MESSINA";"6";"Incarichi extragiudiziari dei magistrati";574183;274409;"172887";"88691";"107804";26287;"25932"
"SICILIA";"MESSINA";"4";"Carriere dei magistrati";574183;274409;"172864";"88673";"104751";28220;"26706"
"SICILIA";"MESSINA";"2";"Obiezione di coscienza";574183;274409;"173857";"88728";"95162";41585;"24139"
"SICILIA";"MESSINA";"3";"Caccia";574183;274409;"172848";"88639";"109342";31655;"20151"
"LOMBARDIA";"MILANO";"1";"Privatizzazione";3160357;1505444;"1211667";"599260";"870584";247246;"63053"
"LOMBARDIA";"MILANO";"2";"Obiezione di coscienza";3160357;1505444;"1218670";"602438";"837754";310370;"46113"
"LOMBARDIA";"MILANO";"7";"Ministero per le politiche agricole";3160357;1505444;"1205084";"595663";"796438";306497;"70121"
"LOMBARDIA";"MILANO";"5";"Ordine dei giornalisti";3160357;1505444;"1203003";"594817";"730672";362298;"77449"
"LOMBARDIA";"MILANO";"6";"Incarichi extragiudiziari dei magistrati";3160357;1505444;"1213189";"600199";"990951";136831;"56296"
"LOMBARDIA";"MILANO";"4";"Carriere dei magistrati";3160357;1505444;"1211310";"599084";"966471";151399;"62850"
"LOMBARDIA";"MILANO";"3";"Caccia";3160357;1505444;"1216171";"600786";"966156";186561;"39827"
"EMILIA-ROMAGNA";"MODENA";"7";"Ministero per le politiche agricole";523405;251510;"165215";"83490";"96509";48773;"16312"
"EMILIA-ROMAGNA";"MODENA";"5";"Ordine dei giornalisti";523405;251510;"165061";"83429";"92536";49963;"18550"
"EMILIA-ROMAGNA";"MODENA";"6";"Incarichi extragiudiziari dei magistrati";523405;251510;"166078";"83990";"127826";19800;"15017"
"EMILIA-ROMAGNA";"MODENA";"2";"Obiezione di coscienza";523405;251510;"167034";"84437";"110857";41896;"11291"
"EMILIA-ROMAGNA";"MODENA";"1";"Privatizzazione";523405;251510;"165738";"83804";"107738";37841;"16178"
"EMILIA-ROMAGNA";"MODENA";"3";"Caccia";523405;251510;"166706";"84202";"127147";27168;"9499"
"EMILIA-ROMAGNA";"MODENA";"4";"Carriere dei magistrati";523405;251510;"165826";"83868";"123385";22200;"16514"
"CAMPANIA";"NAPOLI";"7";"Ministero per le politiche agricole";2436975;1180654;"543059";"287477";"298036";177237;"45550"
"CAMPANIA";"NAPOLI";"1";"Privatizzazione";2436975;1180654;"543792";"287957";"329739";150340;"41457"
"CAMPANIA";"NAPOLI";"2";"Obiezione di coscienza";2436975;1180654;"545090";"288685";"357742";134873;"34199"
"CAMPANIA";"NAPOLI";"3";"Caccia";2436975;1180654;"544850";"288489";"400238";96422;"30431"
"CAMPANIA";"NAPOLI";"4";"Carriere dei magistrati";2436975;1180654;"544188";"288167";"376538";103828;"42720"
"CAMPANIA";"NAPOLI";"5";"Ordine dei giornalisti";2436975;1180654;"543545";"287766";"298207";179381;"44534"
"CAMPANIA";"NAPOLI";"6";"Incarichi extragiudiziari dei magistrati";2436975;1180654;"544614";"288462";"394425";89059;"41214"
"PIEMONTE";"NOVARA";"6";"Incarichi extragiudiziari dei magistrati";289914;137670;"109434";"54553";"84219";12853;"8754"
"PIEMONTE";"NOVARA";"4";"Carriere dei magistrati";289914;137670;"109310";"54492";"82123";13990;"9318"
"PIEMONTE";"NOVARA";"3";"Caccia";289914;137670;"109376";"54451";"80918";19324;"5971"
"PIEMONTE";"NOVARA";"5";"Ordine dei giornalisti";289914;137670;"108841";"54209";"61968";32295;"10554"
"PIEMONTE";"NOVARA";"1";"Privatizzazione";289914;137670;"109215";"54423";"75174";20738;"9280"
"PIEMONTE";"NOVARA";"2";"Obiezione di coscienza";289914;137670;"109677";"54656";"71851";27343;"7202"
"PIEMONTE";"NOVARA";"7";"Ministero per le politiche agricole";289914;137670;"108903";"54242";"67929";27742;"9409"
"SARDEGNA";"NUORO";"7";"Ministero per le politiche agricole";233569;115366;"41289";"20620";"22967";12705;"3939"
"SARDEGNA";"NUORO";"2";"Obiezione di coscienza";233569;115366;"41455";"20698";"26416";10282;"3293"
"SARDEGNA";"NUORO";"3";"Caccia";233569;115366;"41429";"20691";"30480";7731;"2071"
"SARDEGNA";"NUORO";"4";"Carriere dei magistrati";233569;115366;"41408";"20693";"29472";6368;"3880"
"SARDEGNA";"NUORO";"6";"Incarichi extragiudiziari dei magistrati";233569;115366;"41439";"20715";"30807";5388;"3601"
"SARDEGNA";"NUORO";"1";"Privatizzazione";233569;115366;"41335";"20647";"25569";9711;"4229"
"SARDEGNA";"NUORO";"5";"Ordine dei giornalisti";233569;115366;"41278";"20620";"22951";12141;"4420"
"VENETO";"PADOVA";"3";"Caccia";710361;341546;"315400";"157799";"245211";48702;"13987"
"VENETO";"PADOVA";"2";"Obiezione di coscienza";710361;341546;"314918";"157666";"210968";77845;"18648"
"VENETO";"PADOVA";"1";"Privatizzazione";710361;341546;"313350";"156932";"219938";59828;"24134"
"VENETO";"PADOVA";"4";"Carriere dei magistrati";710361;341546;"313690";"157130";"242124";37297;"24524"
"VENETO";"PADOVA";"7";"Ministero per le politiche agricole";710361;341546;"312605";"156534";"203946";77070;"23065"
"VENETO";"PADOVA";"5";"Ordine dei giornalisti";710361;341546;"312372";"156435";"182799";92718;"27754"
"VENETO";"PADOVA";"6";"Incarichi extragiudiziari dei magistrati";710361;341546;"311965";"156238";"249617";33928;"22325"
"SICILIA";"PALERMO";"2";"Obiezione di coscienza";1062491;511295;"295830";"157516";"175449";75281;"26029"
"SICILIA";"PALERMO";"3";"Caccia";1062491;511295;"295852";"157351";"203164";53394;"21806"
"SICILIA";"PALERMO";"6";"Incarichi extragiudiziari dei magistrati";1062491;511295;"295837";"157398";"196176";49668;"29848"
"SICILIA";"PALERMO";"5";"Ordine dei giornalisti";1062491;511295;"295507";"158125";"147791";94379;"32259"
"SICILIA";"PALERMO";"1";"Privatizzazione";1062491;511295;"295262";"157045";"173330";69498;"30186"
"SICILIA";"PALERMO";"7";"Ministero per le politiche agricole";1062491;511295;"294909";"156893";"150376";91480;"31761"
"SICILIA";"PALERMO";"4";"Carriere dei magistrati";1062491;511295;"295593";"157228";"188238";55939;"30690"
"EMILIA-ROMAGNA";"PARMA";"5";"Ordine dei giornalisti";348973;166697;"121348";"61449";"69806";35813;"12079"
"EMILIA-ROMAGNA";"PARMA";"3";"Caccia";348973;166697;"122083";"61740";"92060";21030;"6410"
"EMILIA-ROMAGNA";"PARMA";"2";"Obiezione di coscienza";348973;166697;"122637";"62097";"82800";29310;"7635"
"EMILIA-ROMAGNA";"PARMA";"1";"Privatizzazione";348973;166697;"121934";"61768";"82387";25392;"10455"
"EMILIA-ROMAGNA";"PARMA";"6";"Incarichi extragiudiziari dei magistrati";348973;166697;"122222";"61909";"95866";13355;"9572"
"EMILIA-ROMAGNA";"PARMA";"7";"Ministero per le politiche agricole";348973;166697;"121461";"61456";"72283";35365;"10436"
"EMILIA-ROMAGNA";"PARMA";"4";"Carriere dei magistrati";348973;166697;"122016";"61803";"92467";15523;"10429"
"LOMBARDIA";"PAVIA";"7";"Ministero per le politiche agricole";428749;202803;"162127";"80474";"100280";40512;"15364"
"LOMBARDIA";"PAVIA";"1";"Privatizzazione";428749;202803;"162610";"80781";"111541";29888;"15569"
"LOMBARDIA";"PAVIA";"2";"Obiezione di coscienza";428749;202803;"162890";"80936";"105836";39540;"12828"
"LOMBARDIA";"PAVIA";"3";"Caccia";428749;202803;"162388";"80688";"116131";31114;"10775"
"LOMBARDIA";"PAVIA";"4";"Carriere dei magistrati";428749;202803;"162647";"80808";"120632";21085;"15428"
"LOMBARDIA";"PAVIA";"5";"Ordine dei giornalisti";428749;202803;"161956";"80439";"92892";45173;"18102"
"LOMBARDIA";"PAVIA";"6";"Incarichi extragiudiziari dei magistrati";428749;202803;"162778";"80894";"123216";19327;"14827"
"UMBRIA";"PERUGIA";"1";"Privatizzazione";517884;248867;"115681";"59451";"71010";29747;"10185"
"UMBRIA";"PERUGIA";"2";"Obiezione di coscienza";517884;248867;"116520";"59852";"73804";31600;"7543"
"UMBRIA";"PERUGIA";"7";"Ministero per le politiche agricole";517884;248867;"114998";"59018";"59763";40865;"10220"
"UMBRIA";"PERUGIA";"4";"Carriere dei magistrati";517884;248867;"115932";"59595";"84972";16254;"9896"
"UMBRIA";"PERUGIA";"6";"Incarichi extragiudiziari dei magistrati";517884;248867;"116184";"59743";"89930";13754;"8675"
"UMBRIA";"PERUGIA";"5";"Ordine dei giornalisti";517884;248867;"115272";"59209";"63852";36094;"11115"
"UMBRIA";"PERUGIA";"3";"Caccia";517884;248867;"114991";"58847";"78901";26605;"6384"
"MARCHE";"PESARO E URBINO";"3";"Caccia";300997;146307;"76006";"39180";"55097";14435;"4305"
"MARCHE";"PESARO E URBINO";"1";"Privatizzazione";300997;146307;"76126";"39349";"48440";17294;"7472"
"MARCHE";"PESARO E URBINO";"2";"Obiezione di coscienza";300997;146307;"76699";"39642";"50934";18281;"5224"
"MARCHE";"PESARO E URBINO";"4";"Carriere dei magistrati";300997;146307;"76202";"39355";"55983";10062;"7215"
"MARCHE";"PESARO E URBINO";"6";"Incarichi extragiudiziari dei magistrati";300997;146307;"76308";"39443";"58291";8719;"6635"
"MARCHE";"PESARO E URBINO";"7";"Ministero per le politiche agricole";300997;146307;"75848";"39169";"42271";23535;"7277"
"MARCHE";"PESARO E URBINO";"5";"Ordine dei giornalisti";300997;146307;"75861";"39181";"42053";22855;"8115"
"ABRUZZO";"PESCARA";"4";"Carriere dei magistrati";270925;131437;"83268";"42540";"60288";11507;"7799"
"ABRUZZO";"PESCARA";"1";"Privatizzazione";270925;131437;"83181";"42478";"52880";18218;"8169"
"ABRUZZO";"PESCARA";"3";"Caccia";270925;131437;"83246";"42479";"62427";12867;"4975"
"ABRUZZO";"PESCARA";"5";"Ordine dei giornalisti";270925;131437;"83079";"42430";"47263";23622;"8284"
"ABRUZZO";"PESCARA";"6";"Incarichi extragiudiziari dei magistrati";270925;131437;"83351";"42580";"62619";10036;"7147"
"ABRUZZO";"PESCARA";"7";"Ministero per le politiche agricole";270925;131437;"82959";"42335";"46901";24438;"7972"
"ABRUZZO";"PESCARA";"2";"Obiezione di coscienza";270925;131437;"83415";"42595";"52876";20879;"6331"
"EMILIA-ROMAGNA";"PIACENZA";"2";"Obiezione di coscienza";238275;114202;"88241";"44048";"57329";21151;"7174"
"EMILIA-ROMAGNA";"PIACENZA";"1";"Privatizzazione";238275;114202;"88030";"43951";"58957";17334;"8639"
"EMILIA-ROMAGNA";"PIACENZA";"6";"Incarichi extragiudiziari dei magistrati";238275;114202;"88125";"44001";"67261";9709;"8220"
"EMILIA-ROMAGNA";"PIACENZA";"5";"Ordine dei giornalisti";238275;114202;"87662";"43728";"49332";25042;"149"
"EMILIA-ROMAGNA";"PIACENZA";"7";"Ministero per le politiche agricole";238275;114202;"87580";"43710";"52795";23321;"8670"
"EMILIA-ROMAGNA";"PIACENZA";"4";"Carriere dei magistrati";238275;114202;"88040";"43951";"66005";10374;"8625"
"EMILIA-ROMAGNA";"PIACENZA";"3";"Caccia";238275;114202;"87920";"43842";"62598";16645;"6209"
"TOSCANA";"PISA";"1";"Privatizzazione";328223;156598;"82860";"42015";"50029";22052;"8369"
"TOSCANA";"PISA";"3";"Caccia";328223;156598;"82859";"42054";"58507";17420;"5045"
"TOSCANA";"PISA";"4";"Carriere dei magistrati";328223;156598;"83370";"42498";"60733";11743;"8167"
"TOSCANA";"PISA";"5";"Ordine dei giornalisti";328223;156598;"82876";"42210";"45953";24860;"9169"
"TOSCANA";"PISA";"6";"Incarichi extragiudiziari dei magistrati";328223;156598;"83671";"42682";"64169";9711;"7289"
"TOSCANA";"PISA";"7";"Ministero per le politiche agricole";328223;156598;"82678";"42109";"44012";27285;"8548"
"TOSCANA";"PISA";"2";"Obiezione di coscienza";328223;156598;"84530";"43076";"53439";23194;"5751"
"TOSCANA";"PISTOIA";"7";"Ministero per le politiche agricole";232065;110404;"57382";"28735";"31885";17335;"6072"
"TOSCANA";"PISTOIA";"1";"Privatizzazione";232065;110404;"57669";"28913";"35928";13780;"5866"
"TOSCANA";"PISTOIA";"2";"Obiezione di coscienza";232065;110404;"58271";"29200";"37782";14644;"4189"
"TOSCANA";"PISTOIA";"3";"Caccia";232065;110404;"57522";"28760";"40254";11871;"3874"
"TOSCANA";"PISTOIA";"4";"Carriere dei magistrati";232065;110404;"57716";"28949";"42211";7712;"5747"
"TOSCANA";"PISTOIA";"6";"Incarichi extragiudiziari dei magistrati";232065;110404;"57862";"29042";"44000";6694;"5222"
"TOSCANA";"PISTOIA";"5";"Ordine dei giornalisti";232065;110404;"57429";"28764";"32182";16695;"6461"
"BASILICATA";"POTENZA";"7";"Ministero per le politiche agricole";356342;175509;"82844";"44119";"40586";25882;"11369"
"BASILICATA";"POTENZA";"2";"Obiezione di coscienza";356342;175509;"83181";"44321";"48629";19459;"10630"
"BASILICATA";"POTENZA";"3";"Caccia";356342;175509;"83112";"44267";"56968";13707;"8189"
"BASILICATA";"POTENZA";"4";"Carriere dei magistrati";356342;175509;"83026";"44251";"53020";13128;"12088"
"BASILICATA";"POTENZA";"5";"Ordine dei giornalisti";356342;175509;"82893";"44138";"42829";22448;"12656"
"BASILICATA";"POTENZA";"6";"Incarichi extragiudiziari dei magistrati";356342;175509;"83125";"44310";"54961";11887;"11501"
"BASILICATA";"POTENZA";"1";"Privatizzazione";356342;175509;"82911";"44168";"45883";19828;"12002"
"SICILIA";"RAGUSA";"3";"Caccia";243759;117697;"68234";"34891";"43789";12296;"7164"
"SICILIA";"RAGUSA";"2";"Obiezione di coscienza";243759;117697;"67865";"34722";"37522";16810;"8538"
"SICILIA";"RAGUSA";"7";"Ministero per le politiche agricole";243759;117697;"68152";"34847";"33165";19682;"9569"
"SICILIA";"RAGUSA";"5";"Ordine dei giornalisti";243759;117697;"68017";"34767";"32454";19567;"10309"
"SICILIA";"RAGUSA";"6";"Incarichi extragiudiziari dei magistrati";243759;117697;"68259";"34911";"42257";10657;"9629"
"SICILIA";"RAGUSA";"4";"Carriere dei magistrati";243759;117697;"68249";"34906";"40743";11681;"10051"
"SICILIA";"RAGUSA";"1";"Privatizzazione";243759;117697;"68103";"34879";"37948";14194;"9963"
"EMILIA-ROMAGNA";"RAVENNA";"3";"Caccia";306315;146470;"80056";"40518";"59195";14969;"4149"
"EMILIA-ROMAGNA";"RAVENNA";"7";"Ministero per le politiche agricole";306315;146470;"79513";"40250";"45279";24998;"6962"
"EMILIA-ROMAGNA";"RAVENNA";"6";"Incarichi extragiudiziari dei magistrati";306315;146470;"79962";"40523";"62261";9084;"6545"
"EMILIA-ROMAGNA";"RAVENNA";"5";"Ordine dei giornalisti";306315;146470;"78968";"39927";"43736";25032;"7718"
"EMILIA-ROMAGNA";"RAVENNA";"4";"Carriere dei magistrati";306315;146470;"79883";"40479";"60149";10330;"7131"
"EMILIA-ROMAGNA";"RAVENNA";"2";"Obiezione di coscienza";306315;146470;"80498";"40765";"53783";19930;"4979"
"EMILIA-ROMAGNA";"RAVENNA";"1";"Privatizzazione";306315;146470;"80000";"40424";"51052";19321;"7079"
"CALABRIA";"REGGIO CALABRIA";"1";"Privatizzazione";513978;249037;"91802";"48795";"50046";20676;"13010"
"CALABRIA";"REGGIO CALABRIA";"2";"Obiezione di coscienza";513978;249037;"92023";"48914";"53036";22631;"11046"
"CALABRIA";"REGGIO CALABRIA";"4";"Carriere dei magistrati";513978;249037;"91924";"48870";"58182";15654;"12040"
"CALABRIA";"REGGIO CALABRIA";"5";"Ordine dei giornalisti";513978;249037;"91761";"48763";"45935";27464;"13124"
