"REGIONE";"PROVINCIA";"NUM_REFERENDUM";"QUESITO";"ELETTORI";"ELETTORI_MASCHI";"VOTANTI";"VOTANTI_MASCHI";"NUMVOTISI";"NUMVOTINO";"SKBIANCHE"
"PIEMONTE";"ASTI";"6";"Incarichi extragiudiziari dei magistrati";181294;86852;"61987";"31825";"46098";7369;"6156"
"PIEMONTE";"ASTI";"5";"Ordine dei giornalisti";181294;86852;"61751";"31688";"35202";16687;"7281"
"PIEMONTE";"ASTI";"4";"Carriere dei magistrati";181294;86852;"61924";"31792";"44782";8065;"6520"
"PIEMONTE";"ASTI";"3";"Caccia";181294;86852;"62124";"31887";"46109";10457;"3633"
"CAMPANIA";"AVELLINO";"1";"Privatizzazione";408912;200547;"84435";"45073";"50302";20088;"10811"
"CAMPANIA";"AVELLINO";"3";"Caccia";408912;200547;"84580";"45169";"60263";14356;"7321"
"CAMPANIA";"AVELLINO";"4";"Carriere dei magistrati";408912;200547;"84577";"45166";"57750";13449;"10402"
"CAMPANIA";"AVELLINO";"6";"Incarichi extragiudiziari dei magistrati";408912;200547;"84659";"45223";"59897";11942;"9886"
"CAMPANIA";"AVELLINO";"2";"Obiezione di coscienza";408912;200547;"84540";"45106";"52211";19835;"9204"
"CAMPANIA";"AVELLINO";"7";"Ministero per le politiche agricole";408912;200547;"84444";"45024";"43840";26935;"10480"
"CAMPANIA";"AVELLINO";"5";"Ordine dei giornalisti";408912;200547;"84437";"45079";"46192";23988;"11180"
"PUGLIA";"BARI";"3";"Caccia";1294965;629745;"351274";"185666";"264607";54814;"20281"
"PUGLIA";"BARI";"2";"Obiezione di coscienza";1294965;629745;"351148";"185575";"219661";91287;"27428"
"PUGLIA";"BARI";"5";"Ordine dei giornalisti";1294965;629745;"349879";"184857";"187082";111631;"36698"
"PUGLIA";"BARI";"6";"Incarichi extragiudiziari dei magistrati";1294965;629745;"350547";"185279";"252816";51540;"32488"
"PUGLIA";"BARI";"7";"Ministero per le politiche agricole";1294965;629745;"350020";"185219";"185275";116976;"33480"
"PUGLIA";"BARI";"1";"Privatizzazione";1294965;629745;"350132";"185019";"216818";84775;"33346"
"PUGLIA";"BARI";"4";"Carriere dei magistrati";1294965;629745;"350225";"185104";"241647";60010;"34225"
"VENETO";"BELLUNO";"4";"Carriere dei magistrati";197933;94258;"56297";"28739";"45191";5806;"3979"
"VENETO";"BELLUNO";"7";"Ministero per le politiche agricole";197933;94258;"56080";"28613";"38097";12890;"3831"
"VENETO";"BELLUNO";"5";"Ordine dei giornalisti";197933;94258;"55987";"28557";"34019";15486;"5036"
"VENETO";"BELLUNO";"3";"Caccia";197933;94258;"56420";"28733";"43880";9472;"2133"
"VENETO";"BELLUNO";"2";"Obiezione di coscienza";197933;94258;"56554";"28837";"38007";14228;"2957"
"VENETO";"BELLUNO";"1";"Privatizzazione";197933;94258;"56186";"28684";"40230";10425;"4203"
"VENETO";"BELLUNO";"6";"Incarichi extragiudiziari dei magistrati";197933;94258;"56366";"28776";"46189";5424;"3508"
"CAMPANIA";"BENEVENTO";"1";"Privatizzazione";269306;130924;"59046";"31031";"33855";13559;"8734"
"CAMPANIA";"BENEVENTO";"2";"Obiezione di coscienza";269306;130924;"59768";"31426";"34940";14524;"7764"
"CAMPANIA";"BENEVENTO";"3";"Caccia";269306;130924;"59833";"31393";"41517";10071;"5864"
"CAMPANIA";"BENEVENTO";"4";"Carriere dei magistrati";269306;130924;"59691";"31377";"38858";9631;"8442"
"CAMPANIA";"BENEVENTO";"5";"Ordine dei giornalisti";269306;130924;"59476";"31178";"30440";17416;"8801"
